Transaction,user_path,Transaction_Name_With_User_Path,Average Response Time (sec),90th Percentile Response Time (sec)
selectidentity,_Plan Tab,selectidentity_Plan Tab,7.77,10
navigate_to_plan_tab,_Plan Tab,navigate_to_plan_tab_Plan Tab,0.79,0.664
search,_Plan Tab,search_Plan Tab,0.369,0.448
search-cancel,_Plan Tab,search-cancel_Plan Tab,0.358,0.441
apply filter,_Plan Tab,apply filter_Plan Tab,0.39,0.514
reset filter,_Plan Tab,reset filter_Plan Tab,0.364,0.473
click on 1st customer,_Plan Tab,click on 1st customer_Plan Tab,1.26,1.47
click plan,_Plan Tab,click plan_Plan Tab,0.825,1.03
edit appointments,_Plan Tab,edit appointments_Plan Tab,0.151,0.174
save plan,_Plan Tab,save plan_Plan Tab,5.88,7.59
navigate to unschedule,_Plan Tab,navigate to unschedule_Plan Tab,0.374,0.471
search1,_Plan Tab,search1_Plan Tab,0.372,0.459
search1-cancel,_Plan Tab,search1-cancel_Plan Tab,0.372,0.448
filter-apply,_Plan Tab,filter-apply_Plan Tab,0.387,0.47
filter-reset,_Plan Tab,filter-reset_Plan Tab,0.372,0.501
open first customer,_Plan Tab,open first customer_Plan Tab,1.9,2.34
select plan1,_Plan Tab,select plan1_Plan Tab,0.2,0.275
add appointment1,_Plan Tab,add appointment1_Plan Tab,0.148,0.205
save plan1,_Plan Tab,save plan1_Plan Tab,6.39,7.65
navigate to all,_Plan Tab,navigate to all_Plan Tab,2.71,3.77
select tag1,_Plan Tab,select tag1_Plan Tab,1.28,1.56
unselect tag 1,_Plan Tab,unselect tag 1_Plan Tab,1.08,1.3
select tag2,_Plan Tab,select tag2_Plan Tab,1.08,1.32
search2,_Plan Tab,search2_Plan Tab,1.33,1.73
search2-cancel,_Plan Tab,search2-cancel_Plan Tab,2.28,3.41
select filter,_Plan Tab,select filter_Plan Tab,3.6,5.18
reset,_Plan Tab,reset_Plan Tab,2.4,2.96
open customer,_Plan Tab,open customer_Plan Tab,1.27,1.54
click plan1,_Plan Tab,click plan1_Plan Tab,1.33,1.06
add appointment2,_Plan Tab,add appointment2_Plan Tab,0.151,0.175
save the plan,_Plan Tab,save the plan_Plan Tab,6.63,9.06
navigate to more,_Plan Tab,navigate to more_Plan Tab,0.76,0.964
selectidentity,_More Tab,selectidentity_More Tab,7.77,9.38
navigate to more,_More Tab,navigate to more_More Tab,0.881,1.21
metrics-cardiovascular,_More Tab,metrics-cardiovascular_More Tab,1.23,1.55
